Year,Communication,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Rails,Transportation,Total
1957,,,,,,,85,,,,10,5,,100
1976,,,,,6.1,,86,,,,6.5,,1.6,100.2
2007,3.619147,8.469796,10.212809,12.824775,17.592729,11.939395,11.494394,16.687393,3.320371,,3.60259,,,99.763399
2008,3.822618,8.370354,12.837242,13.296181,13.25193,14.747831,11.045447,15.227191,2.924433,,4.176759,,,99.699986
2009,3.156126,9.555446,11.335581,11.458055,14.347128,12.608474,10.222821,19.813239,3.589275,,3.699046,,,99.785191
2010,3.09921,10.60828,10.609894,12.005292,16.025475,10.883888,10.923761,18.605262,3.732826,,3.290117,,,99.784005
2011,3.086733,10.632294,10.624472,12.653883,15.106693,11.690844,11.237531,17.758684,3.65802,,3.376943,,,99.826097
2012,3.050453,11.461594,10.581523,10.954068,15.563113,11.974605,10.09389,18.984208,3.611685,,3.424266,,,99.699405
2013,2.291452,12.648087,9.74264,10.258928,16.013968,12.809517,10.91904,18.536258,3.493976,,2.920182,,,99.634048
2014,2.27731,12.46991,9.41793,8.42267,16.61308,14.18395,10.39139,19.6166,3.16772,,3.22864,,,99.7892
2015,2.42443,12.87446,10.0448,6.48606,16.45362,15.13091,10.03222,20.65653,2.75961,,2.98096,,,99.8436
2016,2.90817,12.251,10.54094,7.38363,15.71546,14.66248,10.16544,19.73373,2.87447,,3.66748,,,99.9028
2017,2.13596,12.24471,9.02621,6.03691,14.5086,14.47285,10.25719,22.21241,2.84128,2.91914,3.15623,,,99.81149
2018,10.10802,9.91781,7.40381,5.30394,13.34695,15.51556,9.18535,20.08841,2.72414,2.96006,3.33685,,,99.8909
2019,10.37013,9.73507,7.19459,4.33982,12.918,14.17745,9.02903,23.15075,2.65158,2.92536,3.31733,,,99.80911
2020,10.76729,10.80907,6.95646,2.82045,10.0612,14.60219,7.97483,27.41703,2.52008,2.84021,3.06358,,,99.83239
